timestamp,value
21982.978094100952,0
41987.41117310524,0
61982.27162718773,0
81988.3542470932,71.11
101993.45120811462,71.053
121991.63548016548,71.167
141997.72379899025,71.072
161997.39325499535,71.11
181998.96071219444,71.091
202004.8345091343,71.148
222013.60382318497,71.242
242011.441147089,71.205
262015.53425002098,71.129
282026.73499798775,71.11
302032.57805013657,71.148
322027.38318920135,71.148
342039.5636250973,71.167
362112.1210691929,71.148
382042.67056918144,71.167
402054.2139019966,71.129
422053.47049212456,71.299
442058.7333140373,71.242
462065.08414816856,71.148
482070.0998971462,71.242
502076.47925519943,71.242
522081.8635940552,71.205
542099.8531880379,71.28
562106.9595890045,71.091
582110.3902430534,71.167
602126.2410600185,71.205
622138.5166261196,71.205
642136.5504641533,71.129
662151.3772699833,71.261
682149.8327291012,71.148
702162.4897019863,71.318
722170.579554081,71.299
742182.0734779835,71.148
762191.9485080242,71.299
782190.9109261036,71.261
802192.1169559956,71.242
822206.432322979,71.261
842216.5063040257,71.242
862218.9462862015,71.223
882225.3746759892,71.261
902241.6057910919,71.261
922245.8329191208,71.223
942248.6194901466,71.167
962256.3397371769,71.11
982263.8815331459,71.299
1002268.0181779861,71.299
1022282.2310760021,71.242
1042290.6647620201,71.28
1062296.4952511787,71.242
1082291.695260048,71.223
1102296.639496088,71.261
1122296.4679040909,71.261
1142307.9843771458,71.28
1162316.7532041073,71.261
1182317.6456000805,71.28
1202329.3712420464,71.337
1222330.725810051,71.223
1242332.6461310387,71.337
1262342.1761350632,71.318
1282343.058106184,71.242
1302349.380587101,71.318
1322369.1275670528,71.205
1342366.2623410225,71.356
1362371.7731070518,71.337
1382375.130373001,71.299
1402389.61342597,71.337
1422390.2811250687,71.28
1442398.5217871666,71.318
1462399.7272920609,71.356
1482407.3750491142,71.28
1502422.382183075,71.432
1522425.589883089,71.28
1542430.5747880936,71.413
1562429.714632988,71.337
1582748.9244041443,71.356
1602441.6422441006,71.47
1622442.0809690952,71.451
1642449.0788719654,71.47
1662453.7915990353,71.394
1682462.2856140137,71.375
1702469.4174470901,71.527
1722471.3250601292,71.356
1742477.6309859753,71.47
1762482.6083340645,71.451
1782490.475347042,71.432
1802503.915704012,71.546
1822525.9197340012,71.375
1842507.374354124,71.527
1862528.934638977,71.489
1882528.4893391132,71.546
1902529.8388931751,71.584
1922544.6317141056,71.622
1942592.537564993,71.584
1962557.2061920166,71.546
1982567.1802630424,71.584
2002568.2628409863,71.508
2022585.2026879787,71.546
2042624.2178771496,71.679
2062584.411669016,71.679
2082590.1329181194,71.736
2102611.461814165,71.603
2122603.515715122,71.698
2142601.159831047,71.622
2162603.7834751606,71.774
2182632.264603138,71.698
2202625.2520501614,71.831
2222663.1107079983,71.85
2242665.7315101624,71.888
2262676.742244005,71.755
2282663.3147950172,71.774
2302658.8617191315,71.85
2322656.2490360737,71.831
2342662.3413541317,71.755
2362676.9250950813,71.907
2382713.703482151,71.869
2402700.4766511917,71.85
2422671.49676919,71.85
2442676.5612339973,71.869
2462687.9928519726,72.002
2482695.6858291626,71.964
2502696.5454280376,71.831
2522720.4265840054,71.926
2542757.4445431232,71.907
2562717.433475971,72.021
2582735.984278202,72.002
2602714.5739970207,72.097
2622714.6972961426,72.154
2642734.809022188,72.097
2662732.8360049725,72.173
2682729.5738880634,72.268
2702743.9738020897,72.23
2722747.7754859924,72.325
2742746.5607759953,72.192
2762750.4869921207,72.154
2782763.5829970837,72.268
2802775.6799190044,72.23
2822771.1129841805,72.268
2842771.324791193,72.249
2862789.5725901127,72.268
2882781.333646059,72.287
2902786.017635107,72.306
2922800.560728073,72.306
2942812.0659401417,72.363
2962900.3933410645,72.439
2982821.5247261524,72.496
3002834.19938612,72.363
3022844.280591011,72.42
3042848.5425879955,72.553
3062879.376789093,72.61
3082853.498011112,72.743
3102867.934329033,72.724
3122867.3835511208,72.724
3145906.7849981785,72.686
3162880.5350050926,72.705
3182889.545844078,72.743
3202889.979780197,72.856
3222902.3693141937,72.799
3242916.458935976,72.818
3262918.3559789658,72.837
3282921.989428997,72.743
3302939.411962986,72.837
3322944.4706611633,72.875
3343143.505621195,73.027
3362954.326014042,73.008
3382960.8077180386,72.989
3402971.070469141,73.027
3422978.4249761105,73.065
3442988.9117200375,73.141
3462996.444856167,73.198
3482999.465022087,73.198
3503003.392074108,73.16
3523020.499047041,73.027
3543088.420363188,73.198
3563027.547301054,73.141
3583034.0065500736,73.217
3603050.8003201485,73.236
3623050.662439108,73.407
3643128.9978079796,73.464
3663064.5674860477,73.464
3683069.830221176,73.331
3703077.1402840614,73.407
3723147.517225027,73.559
3743113.5499031544,73.521
3763092.5411720276,73.635
3783097.1150341034,73.654
3803101.0153491497,73.616
3823254.515004158,73.692
3843113.0388491154,73.711
3863116.079784155,73.806
3883124.939157009,73.673
3903123.3569881916,73.863
3923287.3026311398,73.882
3943133.4910521507,73.806
3963146.9085650444,73.863
3983142.4537329674,73.844
4003151.6371531487,73.977
4023333.3739521503,74.091
4043170.6052200794,74.034
4063177.351583004,74.072
4083181.533244133,74.072
4103185.5910680294,74.129
4123200.8634791374,74.205
4143207.5579850674,74.129
4163212.62727499,74.129
4183219.8961191177,74.262
4203230.426118135,74.338
4223235.09068799,74.167
4243238.040702105,74.357
4263245.21547699,74.357
4283254.675779104,74.432
4303258.235598087,74.375
4323420.509345055,74.451
4343272.380022049,74.527
4363273.9762330055,74.508
4383274.654294968,74.546
4403360.43415308,74.584
4423284.126329184,74.66
4443293.892706156,74.641
4463298.083063126,74.66
4483300.412016153,74.736
4503371.749521971,74.698
4523314.242557049,74.907
4543323.844647169,74.717
4563335.75387001,74.85
4583336.519167185,74.793
4603350.996857166,74.926
4623354.824226141,74.926
4643352.710594177,74.869
4663364.996361971,74.907
4683429.760890007,74.964
4703571.010118008,74.964
4723380.33692503,75.002
4743393.101606131,75.211
4763390.831918001,75.211
4783461.866343021,75.154
4803410.337784052,75.287
4823408.198668003,75.268
4843417.037763119,75.173
4863431.003782034,75.173
4883497.848407984,75.401
4903445.260734081,75.401
4923450.209904194,75.363
4943449.450708151,75.325
4963462.449781179,75.515
4983468.375910997,75.477
5003466.599680185,75.458
5023483.7530891895,75.553
5043474.023094177,75.686
5063485.688134193,75.629
5083484.991446018,75.667
5103559.545140982,75.667
5123487.438490152,75.819
5143495.316928148,75.781
5163580.801621199,75.743
5183560.598406076,75.819
5203515.7718269825,75.952
5223521.931662083,75.914
5243523.70521903,75.933
5263645.515249968,76.008
5283717.366089106,76.046
5303547.101122141,75.989
5323556.943459034,76.122
5343563.302612066,76.046
5363567.504044056,76.008
5383712.755592108,76.16
5403581.036621094,76.103
5423587.550038099,76.103
5443602.325489044,76.255
5463837.375965118,76.236
5483605.827250004,76.217
5503616.034486055,76.293
5523944.642086983,76.407
5543622.843202114,76.388
5563713.2946510315,76.35
5583648.133124113,76.445
5603645.074716091,76.483
5623664.584904194,76.502
5643732.95750308,76.464
5663790.668524027,76.483
5683671.054054022,76.559
5703680.442896128,76.654
5723682.5989151,76.787
5743841.270131111,76.673
5763696.357546091,76.901
5783701.524901152,76.597
5803711.812549114,76.882
5823717.81963706,76.844
5843784.300765991,76.635
5863728.754705191,76.217
5883734.935036182,74.66
5903735.761207104,73.274
5923756.17714119,71.603
5943894.215548992,70.35
5963758.342010021,69.344
5983760.848616123,68.223
6003767.985597134,66.894
6023809.787868023,66.552
6043784.94909811,0
6063789.177076101,0
6083796.366865158,0
6103802.487034082,0
6123810.229005098,0
6143816.826984167,0
6163822.62997818,0
