timestamp,value
2662368.941653967,2.392
2682364.875769973,2.259
2702385.821825981,2.107
2722386.101930976,1.936
2742415.111752987,1.955
2762395.12520802,2.183
2782435.8050569296,2.107
2802423.6911280155,2.05
2822426.8994050026,2.069
2842437.5113339424,2.05
2862423.2590129375,2.145
2882434.311075926,1.974
2902447.9187579155,2.088
2922452.7324290276,1.993
2942470.0000640154,1.936
2962474.576854944,2.183
2982494.1580039263,2.069
3002490.2995529175,2.164
3022486.833227992,2.126
3042505.849671006,2.069
3062507.096266985,2.069
3082507.8549569845,1.86
3102515.471333027,2.05
3122512.1982529163,2.012
3142534.970619917,2.031
3162553.200120926,1.974
3182542.3760279417,1.955
3202537.350638032,1.993
3222549.8601340055,1.917
3242553.1006709337,1.917
3262559.6162409782,2.012
3282571.7923300266,2.05
3302577.106073022,2.012
3322577.6799299717,1.917
3342583.8660439253,1.993
3362593.1354169846,2.012
3382590.7686089277,2.012
3402588.637678027,1.936
3422598.033533931,1.993
3442598.3834409714,1.955
3462604.773512006,1.936
3482605.4921360016,2.05
3502617.8934949636,2.031
3522619.2943689823,2.012
3542619.370878935,2.05
3562622.1113790274,1.993
3582625.9022319317,2.05
3602645.3511639833,2.012
3622638.7111519575,2.05
3642648.404088974,1.936
3662648.5395759344,2.012
3682679.8242839575,1.367
3702649.3573839664,1.31
3722671.0440659523,1.955
3742685.5828119516,2.069
3762690.0764039755,2.031
3782689.128666997,1.993
3802693.0394929647,2.05
3822701.4225029945,2.031
3842712.749619007,2.031
3862714.1460130215,2.031
3882720.1774049997,2.031
3902724.7269159555,2.069
3922737.1096999645,2.069
3942743.4045410156,1.974
3962750.7780189514,1.936
3982740.303818941,1.955
4002754.4061369896,2.05
4022779.6413320303,1.936
4042770.9234449863,1.955
4062775.5779910088,1.974
4082793.111876011,2.012
4102790.38943696,1.993
4122796.949424982,1.974
4142804.424932003,1.993
4162802.02323997,1.993
4182807.2524809837,1.993
4202826.870353937,1.955
4222814.125597954,1.955
4242828.398424983,2.069
4262817.496366978,2.012
4282827.951568961,2.05
4302844.257524967,2.069
4322845.275243998,2.05
4342844.186838031,2.012
4362842.209327936,1.348
4382867.60788095,1.272
4402864.907215953,1.31
4422858.047644019,1.31
4442872.18590498,1.272
4462887.306317925,1.348
4482889.555850983,1.31
4502893.162873983,1.272
4522897.703568935,1.31
4542904.421504974,1.31
4562901.141852975,1.348
4582920.062817931,1.291
4602929.758953929,1.367
4622943.436884999,1.348
4642951.199283004,1.253
4662960.987021923,1.291
4682961.111603022,1.291
4702962.3112130165,1.291
4722982.308152914,1.31
4742991.823436022,1.348
4762982.679225922,1.31
4782997.762069941,1.348
4802996.595183969,1.31
4822999.806764007,1.215
4843015.476972938,1.234
4863019.388816953,1.291
4883028.74129796,1.291
4903038.667192936,1.291
4923048.439134002,1.291
4943049.439080954,1.329
4963056.621424913,1.291
4983063.787824988,1.291
5003071.411373973,1.31
5023080.270697951,1.348
5043080.622376919,1.329
5063157.548694015,1.329
5083087.959975958,2.031
5103102.82614398,2.012
5123106.527191997,2.012
5143114.097540975,2.069
5163118.142797947,2.031
5183129.799894929,1.993
5203128.95401597,1.955
5223142.775815964,1.822
5243149.157953024,1.727
5263167.227316976,1.803
5283162.979125977,1.727
5303175.578485966,1.651
5323180.999410987,1.594
5343182.426586032,1.651
5363196.801977992,1.594
5383190.472460985,1.613
5403187.566699028,1.557
5424305.914356947,1.594
5443213.475474,1.291
5463228.02610302,1.291
5483223.877182007,1.462
5503230.4945629835,1.405
5523233.7127069235,1.424
5543236.071651936,1.405
5563240.502525926,1.329
5583242.10036099,1.329
5603282.884784937,1.348
5623264.211332917,1.215
5643262.109759927,1.196
5663273.824736953,1.215
5683281.375731945,1.215
5703285.347826958,1.215
5723288.906086922,1.234
5743295.329550028,1.177
5763292.70007503,1.158
5783304.965860009,1.177
5803315.162220001,1.177
5823319.42751801,1.12
5843325.597862005,1.082
5863338.534500957,1.101
5883333.774117947,1.044
5903349.79072094,1.063
5923360.033972979,1.082
5943360.968230963,1.025
5963365.862782955,0.949
5983359.634397984,0.968
6003366.4484939575,1.006
6023375.334566951,1.006
6043388.93859303,1.025
6063406.600145936,0.968
6083388.551460981,0.968
6103399.553085923,0.949
6123395.427345991,0.93
6143427.381366968,0.968
6163416.840932965,0.911
6183427.829308987,0.892
6203432.280553937,0.854
6223439.288209915,0.835
6243451.214438915,1.708
6263441.096377015,0.854
6283460.047163963,0.873
6303457.33079493,0.854
6323451.658510923,0.816
6343450.530893922,1.594
6363462.102842927,1.594
6383472.097155929,0.835
6403479.988682032,0.797
6423481.35105896,0.797
6443481.583506942,0.797
6463490.054141998,0.835
6483481.975584984,0.759
6503499.853374004,0.816
6523504.1020230055,1.651
6543509.481712937,1.519
6563511.199671984,1.538
6583561.96282196,0.797
6603510.244544983,0.778
6623526.19906199,0.835
6643521.216769934,1.594
6663534.086548924,1.613
6683535.6455049515,0.797
6703540.389672995,0.778
6723560.508605957,1.538
